id,title,text,label
30,Biden Meets With Turkeys Who’ve Lost Loved Ones To Thanksgiving,"WASHINGTON—Looking into the birds’ eyes and placing a hand on their shoulders, President Joe Biden met at the White House with a group of turkeys who had lost their loved ones to Thanksgiving, White House sources confirmed Wednesday. “There, there–you’ll be all right,” said Biden, kneeling down to the floor to embrace the birds, who were heard gobbling in sorrow as they mourned the countless friends and family members they had lost to the national holiday. “I’ve gone through my own share of grief, so I know exactly how you feel. Losing a member of the flock is never easy. You can call me up any time, and I’ll be here for you. I promise you: They didn’t die for nothing.” At press time, Biden had reportedly presented the surviving turkeys with the prestigious Purple Giblet.",FAKE
13,"The ‘Bidenomics’ plan, explained","Move over, Reaganomics. President Joe Biden is attempting to usher in the era of “Bidenomics.” This economic theory – which rejects the idea of “trickle-down” policies in favor of focusing on the middle class – will be a centerpiece of Biden’s 2024 reelection campaign. The president highlighted the achievements he’s attributing to Bidenomics in a major speech in Chicago on Wednesday. Growing the economy from the middle out and the bottom up – not the top down – is Biden’s mantra. “When that happens, everybody does well. The wealthy still do, everybody does well,” Biden said, noting that the media came up with the name Bidenomics. “This vision is a fundamental break from the economic theories that failed America’s middle class for decades now.” Trickle-down economics, which was at the heart of President Ronald Reagan’s policies and continues to be the guiding light of Republican lawmakers, typically revolves around tax cuts for the wealthy and large companies. Supporters say the benefits flow down to middle-class and working Americans, boosting economic growth more broadly. But many experts dispute the effectiveness of this practice at lifting all boats. Biden argues that supply-side, trickle-down economics has cost jobs and hollowed out the middle class. He has long focused on that group of Americans, serving as chair of the Middle Class Task Force when he was vice president in the Obama administration. “Folks, let me say it as clearly as I can: (The) trickle-down approach failed the middle class and failed America,” said Biden. To fund Bidenomics, the president once again calls for ensuring the wealthy and large corporations pay their fair share of taxes. Biden, however, is still struggling to sell his economic agenda to the public. Two-thirds of Americans disapprove of how he’s handled the economy and just over three-quarters feel the economy is in poor shape, according to a CNN poll conducted by SSRS in May. The administration and several officials have provided an outline of what Bidenomics entails. A fact sheet distributed by the White House lists the president’s efforts to date but does not include any new initiatives. Here are three key principles of Bidenomics: The Biden administration has focused on infrastructure, clean energy and semiconductors, Lael Brainard, director of the National Economic Council, said at Tuesday’s White House press briefing. The efforts aim to attract private investment, according to the fact sheet. Since Biden took office in 2021 they have already spurred nearly $500 billion in private-sector commitments. One example: The administration is touting the fact that construction spending on manufacturing facilities has doubled since 2021. The Infrastructure Investment and Jobs Act, Inflation Reduction Act, and CHIPS Act each included direct funding and tax incentives for public and private manufacturing construction. This surge is not happening in other advanced economies, it notes. Also, earlier this week, Biden outlined how states will receive more than $42 billion in federal funding for high-speed internet service, which was part of the 2021 infrastructure law. It is aimed at bringing connectivity to more Americans and closing the digital divide. The administration is comparing it to President Franklin Delano Roosevelt’s Rural Electrification Act, which brought electricity to homes throughout the country. And 35,000 new projects – including roads, bridges and ports – have received funding through the bipartisan infrastructure law, the White House said. The Biden administration has also taken steps to prepare workers for the jobs of the future, including those that don’t need four-year college degrees, Brainard said. The president has supported unions and created apprenticeships. He recently visited a North Carolina community college to discuss job training in advanced manufacturing and noted the $500 million investment in the Good Jobs Challenge, which stems from the American Rescue Plan. Biden is taking credit for the 13 million jobs that have been created since he took office and the long stretch of a near-historically low unemployment rate, as well as the record low rates for African- and Hispanic-Americans and people with disabilities. It should be noted that Biden took office in January 2021 in the throes of the Covid-19 pandemic, which unleashed economic upheaval as many Americans stayed home. The administration also says the share of working-age Americans in the labor force is higher now than it has been in more than 20 years. The jobs also come with better pay, better benefits and better schedules as employers seek to attract and retain workers, according to a memo circulated Monday by two of the president’s senior advisers, Anita Dunn and Mike Donilon. The president has also focused on boosting competition to reduce costs and level the playing field for small businesses. The administration points to his signing an executive order in 2021 to ban or limit non-compete clauses. The Federal Trade Commission in January proposed a rule to ban employers from imposing noncompete agreements on workers and to rescind all existing agreements. Also, Biden officials have highlighted the Inflation Reduction Act provision that reduces insulin costs for Medicare enrollees to $35 a month, as well as the president’s proposal targeting so-called junk fees. This story has been updated with additional information. ",REAL
47,"Koch network raises more than $70 million, launches new anti-Trump ads in early voting states","The influential network associated with conservative billionaire Charles Koch has collected more than $70 million for political races, the group announced Thursday, as it gears up to help shape the outcome of next year’s contests up and down the ballot and encourage Republican voters to bypass former President Donald Trump in the White House nomination fight. Americans for Prosperity Action has pledged to back a single contender in the GOP presidential primary for the first time in its history. It has not yet announced whom it will support, but the group could dramatically reshape the Republican field by deploying its vast resources and standing army of conservative activists on behalf of a single candidate. The sums raised by the group will help advance those efforts. The lion’s share of the total announced Thursday came from two organizations affiliated with Koch: $25 million from his Kansas-based industrial conglomerate Koch Industries, and another $25 million from Stand Together, a nonprofit he founded, AFP Action spokesman Bill Riggs confirmed. The New York Times first reported the fundraising total. Koch network plans to back a Republican -- other than Donald Trump -- in the 2024 presidential primary The group is also launching new digital spots, shared first with CNN, that cast Trump as a candidate Republicans can’t risk supporting in 2024. “Instead of making (President Joe) Biden answer for his reckless progressive agenda, Trump makes the debate about indictments, personal grievances and the election he lost,” one 30-second spot, titled “The Choice,” says. The second, called “Unelectable,” describes Trump as a serial loser who caused Republicans to lose the House, Senate and the White House. “If Donald Trump is the GOP nominee, we could lose everything,” the narrator says. The ads will run in Iowa, New Hampshire, South Carolina and Nevada, officials said. “President Trump continues to fight against the swampy D.C. insiders who would love nothing more than to have an establishment puppet they can control in the White House,” Trump spokesman Steven Cheung said in an email. “No amount of dirty money from shady lobbyists and mysterious donors will ever stop the America First movement, and that’s why President Trump continues to dominate poll after poll — both nationally and statewide. We welcome this fight.” AFP Action on Thursday also announced its first US House endorsements of the cycle, saying it will back Republican Reps. Juan Ciscomani of Arizona, Young Kim of California, Zach Nunn of Iowa and John James of Michigan, along with former GOP Rep. Yvette Herrell of New Mexico. In addition to attempting to stir doubts about Trump among the GOP faithful, network officials have said part of their 2024 strategy is to bring more general election voters into the GOP primary process to alter the outcome of early contests. Americans for Prosperity already has reached out to 1.4 million potential new Republican and swing voters in nearly a dozen states, officials said. In a statement to CNN earlier this month, Americans for Prosperity CEO Emily Seidel said the group’s voter interactions have demonstrated to it that many Trump supporters are “receptive to arguments that he is a weak candidate, his focus on 2020 is a liability, and his lack of appeal with independent voters is a problem.” “That tells us that many Republicans are ready to move on, they just need to see another candidate step up and show they can lead and win,” she added. ",REAL
12,Mayorkas taps new ICE leadership,"Homeland Security Secretary Alejandro Mayorkas has tapped Patrick “P.J.” Lechleitner, a career official, to serve in an acting capacity as the new leader of Immigration and Customs Enforcement, according to a notice sent to congressional staffers. “In compliance with legal requirements, Mr. Lechleitner will serve in his new leadership role as the Deputy Director and Senior Official Performing the Duties of the Director. Prior to this new position, Mr. Lechleitner led Homeland Security Investigations,” the notice stated. It’s the latest personnel move within the department’s key immigration agencies and comes after the announcement that Tae Johnson would step down. Johnson led ICE in an acting capacity under the presidencies of Donald Trump and Joe Biden, after failed attempts to appoint a new director to the agency. According to his ICE biography, Lechleitner “served in key leadership positions” for Homeland Security Investigations and earlier in his career, was a Fairfax County police officer and served as a Navy signals intelligence specialist supporting national security interests. ICE hasn’t had a Senate-confirmed director since the Obama administration. Biden’s pick to lead the agency withdrew his nomination after a drawn-out process in the Senate. Earlier this year, US Border Patrol Chief Raul Ortiz also announced he would be retiring at the end of June after more than three decades with the agency. Ortiz, who became chief in August 2021, led the agency as it faced a number of challenges in recent years, including the Covid-19 pandemic and the expiration of the pandemic-era public health restriction Title 42. ",REAL
54,Top Trump campaign aide Susie Wiles met numerous times with special counsel investigators in documents probe,"A senior campaign official for Donald Trump was allegedly shown a classified map by the former president during a meeting at his New Jersey golf club after Trump left office, according to a source familiar with the matter. The campaign adviser, Susie Wiles, has spoken to federal investigators numerous times as part of the special counsel’s Mar-a-Lago documents probe, multiple sources told CNN. Wiles is not named in Jack Smith’s indictment of Trump, but a source familiar with the matter identified her as the “representative of his political action committee” who is referenced in the indictment. During her interviews, sources say that prosecutors repeatedly asked Wiles about whether Trump showed her classified documents. They also inquired about a map and whether she had any knowledge regarding documents related to Joint Chiefs Chairman, Gen. Mark Milley, one source added. The indictment alleges that Trump showed classified documents to people on two separate occasions. According to the indictment, Trump was at his Bedminster club in August or September of 2021 and “showed a representative of his political action committee who did not possess a security clearance a classified map related to a military operation and told the representative that he should not be showing it to the representative and that the representative should not get too close.” The other incident, which CNN first reported, also occurred at Bedminster, where Trump repeatedly referenced a classified document during a meeting with two staffers and two individuals working on a Mark Meadows memoir. CNN obtained the audio of that meeting earlier this week. ABC News previously identified Wiles as the individual to whom Trump allegedly showed a classified map. Wiles, one of Trump’s closest advisers, is effectively running his third bid for the presidency and has taken an active role in Trump’s legal strategy, including helping find lawyers and helping arrange payment to attorneys representing Trump associates being questioned in the multiple federal and state investigations into the former president. Wiles is also a close associate of Chris Kise, who is on Trump’s legal team and appeared in court earlier this month when Trump was indicted. Sources in Trump’s inner circle tell CNN they were blindsided by the news. Wiles declined to comment to CNN. Trump campaign spokesperson Steven Cheung told CNN that Wiles would not be taking a step back from the campaign. “Jack Smith and the Special Counsel’s investigation is openly engaging in outright election interference and meddling by attacking one of the leaders of President Trump’s re-election campaign,” said Cheung. ",REAL
5,Biden administration announces more than $3 billion in funding to tackle homelessness with veterans focus,"The Biden administration announced new actions Thursday to help prevent and reduce veteran homelessness across the country, including $3.1 billion in funding to support efforts to quickly rehouse homeless Americans. “These funds can be used for a wide range of critical interventions from rental assistance to supportive services to technology and data sharing,” said White House domestic policy adviser Neera Tanden, referring to the funding that will be made available through the Department of Housing and Urban Development under the Continuum of Care program. Additional actions being announced Thursday, according to a White House fact sheet, include: $11.5 million in funding for legal services for veterans experiencing homelessness; $58 million worth of funding to help homeless veterans find jobs; and a new series of “boot camps” by HUD and Veterans Affairs to help VA medical centers and public housing agencies more quickly rehouse veterans. The more than $3 billion in funding being announced by HUD is not specifically earmarked for veterans, although it will also go toward helping veterans struggling with homelessness, according to senior administration officials. “We like to say here that the phrase, homeless veteran, should not exist in the English language. Ending veteran homelessness has been and continues to be a top priority of the president and his relentless advocacy for that goal has led to very important investments and advancements, including robust funding,” said Veterans Affairs Secretary Denis McDonough, who added that the VA is currently on track to meet its goal of rehousing 38,000 veterans in 2023. The VA put 40,401 homeless veterans into permanent housing last year with 2,443 of them returning to homelessness at some point that same year, according to the VA. While Thursday’s actions focus on the issue of homelessness for veterans, administration officials hope that progress made in rehousing former service members will help improve efforts to tackle the issue for all Americans experiencing homelessness. “Homelessness is a challenge we face as a nation. But most importantly, it is a solvable one,” Tanden told reporters, adding: “There are so many lessons there, that can help us tackle this problem for all Americans.” The $58 million in grant funding comes from the Department of Labor Veterans’ Employment and Training Service and will help veterans learn occupational skills, participate in on-the-job training or apprenticeships and provide other support services to reintegrate into the workforce. The $11.5 million in legal services grants is a “first-of-its-kind,” according to the White House, and will help veterans obtain representation in landlord-tenant disputes, as well as assist with other court proceedings like child support, custody or estate planning. “Legal support can be the difference between becoming homeless in the first instance, or having a safe stable house and a roof over their heads,” McDonough said. President Joe Biden has made it a goal of his administration to reduce homelessness by 25% for all Americans by 2025, calling on the country in his State of the Union address this year to do more, including “helping veterans afford their rent because no one should be homeless in this country, especially not those who served it.” ",REAL
51,Former Ohio House speaker sentenced to 20 years in $60 million bribery scheme,"A former Republican speaker of Ohio’s House of Representatives was sentenced Thursday to 20 years in prison for his role in a $60 million bribery scheme. Larry Householder was convicted by a federal grand jury in March on racketeering conspiracy charges in connection with a scheme to accept bribes in exchange for ensuring the passage of a billion-dollar bailout for a nuclear energy company. “We are deeply disappointed in the court’s sentence which we believe was unduly harsh and failed to adequately take into consideration all of Larry’s good deeds in the community over the course of his lifetime,” Householder’s attorney Steve Bradley told CNN in an email. “We are also disappointed that Larry was not permitted to self surrender to begin serving his sentence. We will vigorously pursue an appeal with the hope of winning a new trial.” Former Ohio Republican Party Chair Matthew Borges was also convicted in the scheme. Borges is set to be sentenced in a Cincinnati federal court on Friday. The US attorney’s office for the Southern District of Ohio in a March news release did not explicitly identify the nuclear energy company involved in the scheme but noted that utility company FirstEnergy Corp. previously agreed to pay a $230 million penalty for “conspiring to bribe public officials and others” as part of a deferred prosecution settlement. Following Householder’s sentencing, FirstEnergy Corp. told CNN in an email that the company has “accepted responsibility for its actions related to House Bill 6 and has taken significant steps to put past issues behind us. Today we are a different, stronger company with a sound strategy and focused on a bright future.” The scheme centered on House Bill 6, a $1 billion dollar bailout that saved two nuclear plants operated by FirstEnergy Corp. In March 2017, FirstEnergy started making quarterly $250,000 payments to Householder’s tax-exempt social welfare account named Generation Now, US attorneys in Ohio’s southern district had said. Householder’s team then used that money to support HB 6’s passage and stop a ballot effort to overturn the law, the implementation of which has since been blocked. Millions of those dollars went to Householder’s bid for speaker, to other state House candidates likely to support him and to his team’s own pockets. Householder, federal prosecutors said, spent over $500,000 of those funds to “pay off his credit card balances, repair his Florida home and settle a business lawsuit.” Borges used about $366,000 for his own benefit and used another $15,000 to bribe an Ohio Republican operative for information on the number of signatures collected on the ballot referendum opposing HB 6, according to the US attorney’s office for the Southern District of Ohio. Jeffrey Longstreth, Householder’s longtime campaign and political strategist, and Juan Cespedes, a lobbyist, previously pleaded guilty to their roles in the racketeering conspiracy. ",REAL
11,Biden has begun using CPAP machine for sleep apnea,"President Joe Biden has recently begun using a CPAP machine to treat sleep apnea, the White House says, after indentations from straps were seen on both sides of his face Wednesday morning. “Since 2008, the president has disclosed his history with sleep apnea in thorough medical reports. He used a CPAP machine last night, which is common for people with that history,” White House spokesman Andrew Bates said. An official familiar with the matter said Biden began using the device in recent weeks to improve sleep quality. Marks could also be seen on the side of Biden’s face during a Monday event at the White House meant to promote an expansion of high-speed internet. Biden, who, at 80, is the nation’s oldest president, has had a history of sleep apnea in the past. Medical records released in 2008 indicated Biden had a recurring issue with sleep apnea. A health record released by Biden’s doctor in 2019 said sleep apnea “has been considered, but his symptoms have improved significantly after his sinus and nasal passage surgeries.” Sleep apnea is a sleep disorder in which breathing repeatedly stops and starts. About 30 million people in the United States have sleep apnea, according to the American Medical Association. A CPAP (continuous positive airway pressure) machine “uses mild air pressure to keep breathing airways open while you sleep,” according to the National Institutes of Health A readout of Biden’s last physical, conducted earlier this year, did not mention sleep apnea as a condition the president suffers from. Biden’s physicals have all indicated he is fit to serve as president. During Biden’s 2021 physical, the White House physician Dr. Kevin O’Connor singled out two areas of “observation”: an “increasing frequency and severity of ‘throat clearing’ and coughing during speaking engagements” and the president’s stiffer gait. This story has been updated with additional reporting. ",REAL
43,Biden Warns Americans That Ability To Even Pretend U.S. A Democracy At Stake,"WASHINGTON—Delivering a stark warning regarding the nation’s future, President Joe Biden gave a speech Wednesday night in which he cautioned Americans that the ability to even pretend the United States was a democracy was now at stake. “Today, our country teeters on a grim precipice, and if we aren’t careful, it will become completely impossible to embrace the charade that we are in any way a functioning democracy,” said Biden, describing how the upcoming midterm election could be the nation’s last chance to delude itself into believing its political system was actually built on the will of its people. “Please, I urge you to go out and exercise your right to vote while you are still capable of imagining it does something on the national or even the local level. This could be the last Election Day you can call America a democracy with a straight face.” At press time, spending on 2022 federal and state races was expected to reach a midterm record of $16.7 billion.",FAKE
52,"At least 100,000 could have had data exposed after US health department was hit by global cyberattack","At least 100,000 people could have had their data compromised by a hack of contractors at the Department of Health and Human Services, a department official said Thursday, making it the latest US government agency to be caught up in a sweeping cyberattack connected to Russian cybercriminals. HHS notified Congress of the breach on Tuesday and will update lawmakers as the investigation continues, the official said. Agencies are required to notify Congress of a data breach that involves the compromise of personal information of 100,000 or more people. “While no HHS systems or networks were compromised, attackers gained access to data by exploiting the vulnerability in the MOVEit Transfer software of third-party vendors,” the official told CNN. MOVEit is the popular file-transfer software that suspected Russian cybercriminals have exploited in recent weeks to compromise scores of companies, schools and government agencies in the US and abroad. US firm Progress Software, which makes MOVEit, issued a security update for the software but the hackers had a few days’ head start in getting into systems. CNN first reported that several US agencies were affected by the MOVEit vulnerability, a list that includes the Department of Energy, Office of Personnel Management and US Department of Agriculture. Bloomberg News first reported that HHS was affected. Federal officials have blamed the hacking campaign exploiting the software on a Russian-speaking group known as CLOP. The hackers are generally stealing data from victims rather than encrypting their computers with ransomware and using the stolen data to make extortion demands. CLOP’s impact on federal agencies has been limited, officials say, but elsewhere millions of Americans have had their personal data accessed. Motor vehicle departments in Louisiana and Oregon, and California’s public pension fund have all had data stolen. Big-name victims or targets of the hack have continued to emerge. A spokesperson for Siemens Energy told CNN on Tuesday that the company was “among the targets” of the hack, but that “no critical data has been compromised and our operations have not been affected.” The University of California Los Angeles had its MOVEit platform hacked on May 28, a university spokesperson told CNN on Tuesday. “This is not a ransomware incident,” the spokesperson said. “There is no evidence of any impact to any other campus systems.” The hackers have been known to demand tens of millions of dollars in ransom in previous campaigns. But they are publishing a lot of the data stolen through the MOVEit hacks on their dark-web extortion site – a sign that some efforts to extract ransoms have failed. Some victims have paid the hackers, Charles Carmakal – an executive at Mandiant Consulting, a Google-owned firm hired by some victims to respond to the hacking – previously told CNN. It’s unclear how many of the victims have paid off the hackers or how much they have paid. Carmakal and others have declined to comment on that. But even a handful of victims with high payouts can be profitable and fuel future hacks. “We have many active forensic investigations involving this vulnerability involving data theft and extortion with unusually high ransom demands,” Shane Sims, a former supervisory special agent at the FBI who is now CEO of cybersecurity firm Kivu Consulting, told CNN. “Victims span the US and UK, and include the financial, industrial, legal, health care and technology sectors.” ",REAL
